Sort,Year,Redd_Name,Section,Date_New,Latitude,Longitude,Meas,rm,rkm,Stream,Redd_Count
193,2003,3100901QW,3,10/9/2003,46.161765,-122.687471,111718.4581,21.1588,34.05189,Coweeman River,1
194,2003,3100902QW,3,10/9/2003,46.163873,-122.68952,110797.0207,20.98428,33.77103,Coweeman River,1
195,2003,3100903QW,3,10/9/2003,46.164356,-122.689493,110622.7514,20.95128,33.71791,Coweeman River,1
196,2003,3100904QW,3,10/9/2003,46.164141,-122.694718,108996.3062,20.64324,33.22218,Coweeman River,1
197,2003,3100905QW,3,10/9/2003,46.163766,-122.695287,108785.5576,20.60332,33.15794,Coweeman River,1
198,2003,3100906QW,3,10/9/2003,46.163733,-122.695271,108783.5342,20.60294,33.15732,Coweeman River,1
199,2003,3100907QW,3,10/9/2003,46.163712,-122.695308,108770.717,20.60052,33.15342,Coweeman River,1
200,2003,3100908QW,3,10/9/2003,46.16368,-122.695415,108739.3718,20.59458,33.14386,Coweeman River,1
201,2003,3100909QW,3,10/9/2003,46.167253,-122.698923,104739.8956,19.8371,31.92482,Coweeman River,1
202,2003,3100910QW,3,10/9/2003,46.168154,-122.710795,99855.47433,18.91202,30.43604,Coweeman River,1
203,2003,3101501SH,3,10/15/2003,46.162302,-122.687223,111789.4698,21.17225,34.07353,Coweeman River,1
204,2003,3101502SH,3,10/15/2003,46.165613,-122.69183,109917.3605,20.81768,33.50291,Coweeman River,1
205,2003,3101504SH,3,10/15/2003,46.164065,-122.70047,106567.2201,20.18319,32.48178,Coweeman River,1
206,2003,3101505SH,3,10/15/2003,46.164178,-122.700619,106577.3726,20.18511,32.48488,Coweeman River,1
207,2003,3101506SH,3,10/15/2003,46.163963,-122.700656,106615.297,20.19229,32.49644,Coweeman River,1
208,2003,3101507SH,3,10/15/2003,46.163847,-122.699554,106333.999,20.13902,32.4107,Coweeman River,1
209,2003,3101508SH,3,10/15/2003,46.163901,-122.699488,106321.5355,20.13665,32.4069,Coweeman River,1
210,2003,3101509SH,3,10/15/2003,46.165711,-122.700973,103965.1934,19.69038,31.68869,Coweeman River,1
211,2003,3101510SH,3,10/15/2003,46.165557,-122.701065,103919.8343,19.68179,31.67486,Coweeman River,1
212,2003,3101511SH,3,10/15/2003,46.17357,-122.714,96965.47033,18.36467,29.55516,Coweeman River,1
213,2003,3102201PS,3,10/22/2003,46.163536,-122.698204,107734.8936,20.40434,32.8377,Coweeman River,1
214,2003,3102202PS,3,10/22/2003,46.163238,-122.699922,106877.3363,20.24192,32.57631,Coweeman River,1
215,2003,3102203PS,3,10/22/2003,46.165872,-122.698155,105341.7025,19.95108,32.10825,Coweeman River,1
216,2003,3102204PS,3,10/22/2003,46.167075,-122.707718,101030.5102,19.13457,30.79419,Coweeman River,1
217,2003,392401PS,3,9/24/2003,46.16298,-122.700042,106929.864,20.25187,32.59232,Coweeman River,1
218,2003,392402PS,3,9/24/2003,46.163389,-122.700441,106806.9209,20.22858,32.55485,Coweeman River,1
219,2003,392403PS,3,9/24/2003,46.163936,-122.699614,106356.1633,20.14321,32.41746,Coweeman River,1
220,2003,392404PS,3,9/24/2003,46.163901,-122.698844,106112.5999,20.09708,32.34322,Coweeman River,1
221,2003,392405PS,3,9/24/2003,46.163719,-122.699004,106184.0926,20.11062,32.36501,Coweeman River,1
222,2003,392406PS,3,9/24/2003,46.168059,-122.701725,102799.618,19.46963,31.33342,Coweeman River,1
223,2003,392407PS,3,9/24/2003,46.167283,-122.707352,101160.6033,19.1592,30.83385,Coweeman River,1
224,2003,392408PS,3,9/24/2003,46.167356,-122.707306,101188.4095,19.16447,30.84232,Coweeman River,1
225,2003,392409PS,3,9/24/2003,46.171721,-122.714207,97882.03776,18.53827,29.83454,Coweeman River,1
226,2003,4100301SS,4,10/3/2003,46.173298,-122.715689,96497.88791,18.27612,29.41265,Coweeman River,1
227,2003,4100302SS,4,10/3/2003,46.175297,-122.7238,93212.6256,17.65391,28.41129,Coweeman River,1
228,2003,4100303SS,4,10/3/2003,46.175294,-122.723771,93219.93785,17.65529,28.41352,Coweeman River,1
229,2003,4100304SS,4,10/3/2003,46.17496,-122.724526,93039.67367,17.62115,28.35858,Coweeman River,1
230,2003,4100305SS,4,10/3/2003,46.173182,-122.729151,91493.19296,17.32826,27.88721,Coweeman River,1
231,2003,4100306SS,4,10/3/2003,46.171449,-122.730785,90730.65911,17.18384,27.65479,Coweeman River,1
232,2003,4100307SS,4,10/3/2003,46.171408,-122.730787,90723.71894,17.18252,27.65267,Coweeman River,1
233,2003,4100308SS,4,10/3/2003,46.17141,-122.733838,89827.11011,17.01271,27.37938,Coweeman River,1
234,2003,4100309SS,4,10/3/2003,46.17317,-122.73809,88563.74794,16.77344,26.99431,Coweeman River,1
235,2003,4100310SS,4,10/3/2003,46.174264,-122.740285,87912.36029,16.65007,26.79577,Coweeman River,1
236,2003,4100311SS,4,10/3/2003,46.17438,-122.740553,87821.92698,16.63294,26.7682,Coweeman River,1
237,2003,4100312SS,4,10/3/2003,46.174383,-122.740572,87816.85428,16.63198,26.76666,Coweeman River,1
238,2003,4100313SS,4,10/3/2003,46.174388,-122.740821,87754.07825,16.62009,26.74752,Coweeman River,1
239,2003,4100314SS,4,10/3/2003,46.174509,-122.741238,87643.92045,16.59923,26.71395,Coweeman River,1
240,2003,4100315SS,4,10/3/2003,46.173742,-122.742789,87158.90341,16.50737,26.56611,Coweeman River,1
